* Ensemble de règles qui régissent les rapports des membres d’une même société. Qui suis-je ? 	Le Droit.
** Déterminer l’étendue du pouvoir de surveillance de l’employeur sur les outils professionnels utilisés par les salariés.	La loi impose à l’employeur de respecter la vie privée de ses salariés. Ainsi, une utilisation raisonnable des outils professionnels à des fins personnelles doit être tolérée par l’employeur. Mais il a le pouvoir de tout surveiller dans l’entreprise.
** Préciser qui évalue le caractère raisonnable des pratiques des salariés en matière d’usage personnel des outils professionnels.	En 1er lieu l’employeur qui décidera ou non de sanctions disciplinaires et en cas de conflit, ce rôle revient au juge du conseil de prud’hommes.
* Préciser qui peut consulter les images obtenues de caméras de vidéosurveillance.	Les personnes habilitées, comme le dirigeant, le responsable de la sécurité, l’ASR, un huissier.
** Proposer trois finalités d’un système de géolocalisation.	Il peut permettre d’assurer la sécurité de l’employeur ou des marchandises, le suivi et la facturation d’une prestation de transport de personnes ou de marchandises, le suivi du temps de travail (durée d’utilisation du véhicule, kilométrage parcouru), l’entretien du matériel,…
** Préciser la valeur juridique d’une charte informatique.	Le code du travail ne donne pas de valeur juridique précise à la charte informatique. Toutefois, la jurisprudence reconnaît une valeur juridique à la charte si elle est annexée au règlement intérieur et/ou au contrat de travail car la charte est portée à la connaissance du salarié.
*** Expliquer si un employeur peut consulter les mails privés reçus par le salarié sur son lieu de travail.	(Répondre de manière nuancée.) Un salarié peut faire un usage privé de sa messagerie électronique professionnelle (toléré) à condition que le message soit clairement identifié comme « Personnel ». Sinon, l’employeur peut consulter les messages en respectant les modalités prévues au RI ou dans la charte informatique.
** Indiquer le rôle de l’administrateur système et réseau en cas d’atteinte à la sécurité du réseau de l’entreprise.	Il doit avertir le salarié à l’origine de ces faits pour qu’il cesse ses agissements ; il doit supprimer tous les fichiers ou messages qui porteraient atteinte à la sécurité du réseau (ou les isoler) et il doit informer l’employeur qui se chargera de prononcer les sanctions éventuelles.
* Citer trois modalités différentes de rupture du contrat de travail.	Choisir parmi : la démission, le licenciement, la rupture amiable, la prise d’acte, le départ en retraite, la mise à la retraite.
* Citer les différents régimes juridiques de travail que vous connaissez.	Un travailleur peut être salarié, fonctionnaire ou travailleur indépendant.
* Présenter le statut de fonctionnaire.	 C’est un agent qui travaille au service de l’État, de la fonction hospitalière ou d’une collectivité territoriale et qui remplit une mission de service public.
*** Il exerce son activité professionnelle (d’ordre intellectuel, commercial ou libéral, …) dans le cadre d’un contrat d’entreprise. Préciser le statut juridique de ce travailleur.	Un travailleur indépendant. (Raisonnement attendu)
** Préciser la durée légale de période d’essai d’un ETAM et d’un cadre.	Employé : 2 mois Agent de Maîtrise : 3 mois Cadre : 4 mois
*** Expliquer les raisons pour lesquelles le Contrat à Durée Indéterminée est le contrat de droit commun ? (2 raisons ≠)	Parce qu’ayant une durée indéterminée, il assure : 1/ La stabilité des effectifs de l’employeur, 2/ La stabilité de la rémunération des salariés.
*** Maxime est intérimaire. Il travaille en ce moment chez Cap Gemini. Il fait une faute professionnelle. Expliquer qui est habilité à prononcer la sanction disciplinaire.	C’est l’entreprise de travail temporaire car c’est elle son employeur.
* En période d’essai, le contrat de travail n’est pas encore conclu entre les parties.	Vrai ou faux ? FAUX, la période d’essai s’ouvre à la conclusion du contrat de travail.
**(*) Rappeler les durées de période d’essai des ETAM.	Ils se divisent en 2 catégories : 1/ Les ET (coef 200 à 355) dont la période d’essai est de 2 mois maximum, 2/ Les AM (coef 400 à 500) dont la période d’essai est de 3 mois maximum. (3 étoiles si coef correct, sinon 2 étoiles)
*** Marcel est l’unique salarié d’une entreprise de plomberie. En désaccord avec son employeur, il souhaite faire grève. Le peut-il ?	PPE = Il n’est pas possible de faire grève seul. Il faut être au moins 2. Exception : dans les entreprises n’ayant qu’un seul salarié CCL : Marcel peut faire grève. C’est un droit constitutionnel.
*** PLOMBERIEPLUS souhaite sanctionner un intérimaire qui a commis une faute sur un chantier. Est-ce possible ?	PPE : l’intérimaire est salarié de l’agence d’intérim qui met ce salarié à la disposition de PLOMBERIEPLUS. Il n’existe aucun lien juridique entre l’entreprise et l’intérimaire. CCL : la sanction doit venir de l’agence d’intérim.
* Citer trois droits individuels du salarié.	Droit à un salaire minimum, droit aux congés payés, droit à la non-discrimination, droit d’expression, droit d’information, droit à un temps de travail maximum.
*** Présenter les conditions de validité de la clause de mobilité.	Elle doit être prévue au contrat, être dans l’intérêt légitime de l’entreprise ; elle doit préciser la zone géographique de mutation. Et en cas de mutation, l’entreprise doit laisser au salarié un délai de prévenance pour s’organiser.
*** Préciser les conditions de validité de la clause de dédit-formation.	Elle doit préciser les modalités de la formation (lieu, date, durée, coût…) et de remboursement en cas de démission du salarié. Le montant du remboursement doit être proportionné à la formation engagée et du temps restant à effectuer dans l’entreprise.
*** Préciser si Hervé peut refuser de se présenter en formation au motif que l’horaire de début de formation l’empêche d’emmener sa fille à l’école ce jour là.	 La formation est une modalité d’exécution du contrat de travail + le temps de formation est du temps de travail effectif, le salarié ne peut pas refuser d’aller en formation, sauf motif légitime. En l’espèce, il n’en a pas, son refus constitue une faute.
*** Kévin occupe un poste de niveau BTS depuis 6 ans, sans en avoir le diplôme. Il aimerait régulariser sa situation tout en continuant de travailler. Proposer une solution.	Parmi les dispositifs de formation, il est possible de valider des diplômes grâce à la VAE. Dans ce cadre, le salarié peut demander à bénéficier d’un congé de préparation de 24h maximum.
*** Fabrice souhaite passer un Master 2 en retournant pendant un an à l’Université alors qu’il est salarié d’une entreprise. Déterminer le dispositif de formation qu’il peut choisir.	Le CIF + justification.
** Expliquer ce qu’est une modification d’un élément essentiel du contrat de travail.	C’est la modification d’un élément du contrat de travail qui a été négociée entre l’employeur et le salarié : rémunération, temps de travail, qualification ou lieu de travail,….
*** L’employeur impose des horaires de jour à une infirmière travaillant de nuit. Celle-ci refuse car sa rémunération va diminuer. Analyser la situation.	Changement d’horaire (jour-nuit) est considéré comme une modification du contrat de travail. Le salarié peut refuser ce changement.
*** Michelin externalise son service informatique auprès d’IBM. Préciser s’il y a transfert d’entité économique autonome au sens de l’article L1224-1 du code du travail.	Ppe : Pour qu’il y ait transfert d’entité économique autonome, l’entité transférée doit disposer de ses propres ressources matérielles, humaines et financières et fonctionner de manière indépendante pour poursuivre son activité. CCL : ce n’est pas le cas d’un service informatique. L’article L1224-1 du code du travail ne peut pas s’appliquer.
*** Le DSI confie de nouvelles responsabilités à un technicien informatique. Expliquer s’il s’agit d’une modification du contrat ou d’une modification des conditions de travail du technicien.	Cela peut être assimilé à une modification du contrat de travail + Justification.
*** Un salarié en CDD peut démissionner. Vrai ou Faux ? (Justifier).	 La rupture du CDD ne peut intervenir qu’à l’arrivé du terme du contrat ou dans des cas prévus par la loi. Ainsi, un salarié en CDD ne peut pas démissionner (faculté réservée au CDI). Donc, FAUX.
*** Distinguez faute grave et faute lourde.	Les 2 fautes entraînent le licenciement. Mais la faute grave est une faute rendant impossible le maintien du salarié dans l’entreprise tandis que la faute lourde est une faute avec intention de nuire à l’entreprise.
*** Le bris volontaire de machine est une faute lourde. Vrai ou Faux ?	Ppe : la faute lourde est caractérisée par l’intention du salarié de nuire à l’employeur. CCL : le bris de machine est assimilé à une faute lourde.
*** Citer 4 obligations spécifiques de l’employeur en cas de licenciement collectif.	Il faut prévoir l’ordre des licenciements, la consultation des représentants du personnel, l’élaboration du PSE (si entreprise de +50 salariés), le respect de l’obligation de reclassement, le respect de la priorité de réembauche.
* Expliquer ce qu’est la priorité de réembauche.	C’est la possibilité que peut demander un salarié, de se voir proposer tout poste disponible dans l’entreprise qui vient de le licencier pour raison économique, pendant une durée de 1an à compter de la rupture du contrat de travail.
* Préciser le rôle du conseil de prud’hommes.	Il juge des litiges individuels entre un employeur et un salarié.
** Justifier le pouvoir de surveillance et de contrôle de l’employeur sur ses salariés.	Pour 2 raisons : L’employeur dispose du pouvoir de direction et du pouvoir disciplinaire inhérente à son statut d’employeur. Et le salarié se place sous la subordination (sous les ordres) de l’employeur.
* La CNIL autorise l’entreprise à encadrer les pratiques des salariés en matière informatique. Citer 2 outils que l’employeur peut mettre en place.	La CNIL autorise le filtrage de sites illicites, la restriction de l’usage des réseaux sociaux pendant le temps de travail, le téléchargement de logiciels, le contrôle des temps de connexion et des sites visités,…
** Préciser la procédure à suivre pour mettre en place un système de vidéosurveillance au sein de l’entreprise.	1/ Déclaration préalable à la CNIL, 2/ Information préalable des salariés par voie d’affichage, dans le RI ou la charte informatique de l’entreprise, 3/Information préalable des représentants du personnel, 3/ Mise en place du dispositif.
** Indiquer le risque juridique pris par l’employeur qui n’a pas informé préalablement ses salariés de la mise en place d’un dispositif de vidéosurveillance.	Il commet un délit qui peut être puni de 5 ans d’emprisonnement et de 300 000€ d’amende.
** Préciser les modalités de mise en place d’un système de géolocalisation.	1/ Déclaration préalable à la CNIL, 2/ Information préalable des salariés (par lettre remise en main propre, par voie d’affichage ou réunion, dans le RI ou la charte informatique de l’entreprise…), 3/ Mise en œuvre du dispositif.
** Indiquer ce que risque l’employeur qui exploite des données personnelles collectées auprès des salariés à leur insu à l’aide d’un dispositif de cybersurveillance.	L’employeur engage sa responsabilité contractuelle pour manquement à son obligation de transparence et pour atteinte à la vie privée et sa responsabilité pénale s’il n’a pas procédé à la déclaration préalable auprès de la CNIL.
* Citer trois missions de l’administrateur système et réseau.	 1/ Informer, former, conseiller, alerter les acteurs, 2/ Sécuriser le système, 3/ Contrôler l’activité sur le réseau, 4/ Pratiquer une veille technologique.
** L’action de l’administrateur système et réseau doit respecter le principe de proportionnalité en matière de traitement des données à caractère personnel (DCP). Expliquer.	L’ASR doit respecter la finalité des DCP, c’est-à-dire que cette manipulation de DCP doit s’effectuer de façon adéquate, pertinente, non excessive et strictement nécessaire à l’objectif poursuivi.
* Définir le lien de subordination.	C’est le fait pour l’employeur de pouvoir donner des ordres au salarié, d’en contrôler l’exécution et de sanctionner le salarié. (les 3 éléments sont attendus).
** Préciser les conditions de recrutement d’un fonctionnaire.	(5 conditions) 5 conditions : Il doit être majeur capable, sans casier judiciaire, disposer de la nationalité française et des diplômes requis pour pouvoir passer le concours.
*** John souhaite occuper un emploi stable, lui garantissant une bonne couverture sociale, tout en ne prenant pas trop de risques. Lui proposer le(s) statut(s) de travail adapté(s).	Soit fonctionnaire, soit salarié. (Raisonnement attendu)
*** Définir le principe de faveur en droit du travail.	Aucune source de niveau inférieur ne peut contredire une source de niveau supérieur. De même, un texte de niveau inférieur ne peut comporter que des dispositions plus favorables à celles du niveau supérieur.
*** Pour être valable, un contrat de travail doit respecter 3 conditions. Citer et expliquer les.	1/ Le consentement des parties doit être libre et non vicié (sans erreur, sans dol, sans violence), 2/ les parties doivent avoir la capacité juridique de s’engager. 3/ Le contenu du contrat doit être déterminé et licite.
** Citer trois différences existant entre le CDI et le CDD.	Ex de différences : la durée du contrat varie ; l’écrit est obligatoire en CDD et conseillé en CDI ; la prime de fin de contrat est versé en fin de CDD alors qu’elle n’existe pas en CDI ; la rupture anticipée du contrat varie,…
* Une personne en période d’essai est déjà salariée de l’entreprise et bénéficie donc des mêmes conditions de travail que les autres salariés. Vrai ou Faux ?	 VRAI
** En cas de rupture de la période d’essai, il est demandé au salarié de respecter un délai de prévenance. Expliquer l’utilité de ce délai.	C’est un délai qui doit permettre à l’employeur ou au salarié de prendre les dispositions nécessaires pour faire face au départ du salarié de l’entreprise.
*** Le Super U propose à Marie, en CDD depuis 18 mois pour remplacer une caissière, un autre CDD pour poursuivre le remplacement de cette salariée. Est-ce possible ?	Dans le cas du remplacement d’un salarié absent, le recours aux CDD successifs n’est soumis à aucune durée maximale. La durée totale des contrats peut excéder 18 mois, dès lors qu’ils sont signés avec un même salarié et qu’il s’agit de remplacer le même salarié.
** Préciser le nombre d’heures au minimum que doit effectuer un salarié en CDI à temps partiel.	24H Mais il existe des exceptions (demande de dérogation individuelle du salarié ou accord de branche fixant un socle différent.).
* Citer trois droits collectifs du salarié.	Droit de grève, droit de se syndiquer, droit à la représentation, droit à la négociation collective, droit à l’hygiène et à la sécurité.
*** Présenter les conditions de validité de la clause de non concurrence.	Elle doit être limitée dans le temps et dans l’espace, prévoir une contrepartie financière, tenir compte des spécificités de l’emploi du salarié et être justifiée par l’intérêt de l’entreprise et ne doit pas porter atteinte à la liberté du travail.
*** Expliquer en quoi la formation est à la fois un droit et une obligation pour le salarié.	C’est un droit car l’employeur doit veiller à l’adaptation permanente du salarié à son emploi et il doit consacrer un % de sa masse salariale à la formation, et une obligation car si l’employeur l’envoie en formation, il ne peut refuser, sauf motif légitime.
** La formation professionnelle doit faire l’objet d’une négociation collective tous les 3 ans au sein de l’entreprise.	Vrai ou faux ? Vrai, cela permet de négocier les priorités, les objectifs et les moyens de formation.
** Expliquer les raisons pour lesquelles la loi impose aux employeurs de former leurs salariés tout au long de leur vie professionnelle.	La formation tout au long de la vie professionnelle contribue à renforcer la compétitivité des entreprises et constitue un élément déterminant de la sécurisation des parcours professionnels et de la promotion sociale des salariés.
*** Mohamed a besoin d’une petite remise à niveau en langage C#. Déterminer le dispositif de formation dont elle bénéficie.	Le compte personnel de formation + justification.
** Expliquer ce qu’est une modification des conditions de travail.	C’est la modification d’un élément non essentiel au contrat de travail. Ex : horaire de travail, modalité de réalisation du travail, choix des outils de travail,…
*** Sylvie refuse une mutation, alors que son contrat prévoit cette possibilité, car elle s’occupe de sa maman malade. Envisagez les conséquences de son refus.	Le contrat de Sylvie prévoit une clause de mobilité. Elle ne peut donc pas refuser la mobilité, sauf si elle a un motif légitime. En l’espèce, le refus de Sylvie est légitime mais l’entreprise peut la licencier pour motif économique si elle ne peut pas la garder.
*** Indiquer la raison pour laquelle il est nécessaire d’obtenir l’accord du salarié en cas de modification de son contrat de travail.	Parce que selon l’article 1134 du code civil « les conventions légalement formée tiennent lieu de loi à ceux qui les ont faites ». Le contrat doit donc s’appliquer tel que les parties l’ont négocié. Toute modification nécessite l’accord des 2 parties.
*** Géraldine vient d’avoir un enfant. Elle souhaite passer à temps partiel. Doit-elle obtenir l’accord de l’entreprise ou est-ce un droit pour la salariée ?	Le passage d’un temps plein à un temps partiel est une modification du contrat de travail. En outre, la demande congé parental partiel est de droit pour le salarié qui la demande. Ainsi, la demande de Géraldine est un droit.
* Définir le licenciement.	 C’est la rupture du contrat de travail à l’initiative de l’employeur.
** Indiquer les conséquences d’un licenciement abusif dans une entreprise de +10 salariés pour un salarié ayant au moins 2 ans ancienneté.	Il peut demande la réintégration et indemnité au moins égale à 6 mois de salaires.
*** Préciser le motif du licenciement d'une salariée qui se montre inapte aux nouvelles techniques introduites dans l’entreprise, (après une période de formation).	L’entreprise a pu licencier la salariée pour motif économique.
** Lister les obligations du salarié et de l’employeur si le licenciement est prononcé.	Le salarié doit, effectuer une période de préavis (sauf en cas de faute grave et de faute lourde). L’employeur doit verser les indemnités de fin de contrat et remettre un certificat de travail et un reçu pour solde de tout compte au salarié.
** Hormis le licenciement et la démission, citer deux autres moyens de rompre un contrat de travail.	1/ La rupture conventionnelle. 2/Le départ à la retraite. 3/ La mise à la retraite. 4/ La prise d’acte de rupture.
* Indiquer la juridiction compétente pour juger des litiges collectifs entre employeur et salariés.	Le TGI.
* Définir la notion de cybersurveillance.	Il s’agit de toutes les formes de collecte ou de stockage sur support électronique, de signaux, de toute nature, susceptibles de fournir une indication sur le comportement des personnes physiques, parties à un contrat de travail.
* Préciser à quelle condition l’entreprise peut-elle interdire l’usage des messageries personnelles sur le lieu de travail.	A condition de l’avoir spécifié dans le règlement intérieur de l’entreprise pour que tous les salariés soient informés de cette mesure.
** Expliquer ce que peut surveiller un système de vidéosurveillance et ce qu’il ne peut pas contrôler.	Ce système permet de surveiller les accès aux locaux, les zones de travail de l’entreprise. Mais il ne doit pas conduire à une surveillance permanente du salarié : pas de caméra dans les zones de repos, aux toilettes, au dessus des postes de travail,…
** Préciser si un client peut s’opposer à la mise en place d’un système de vidéosurveillance dans un magasin de prêt-à-porter.	Le client ne peut pas s’y opposer mais il doit être informé de la mise en place du dispositif par l’apposition d’un écriteau à l’entrée du magasin.
*** Préciser l’étendue du pouvoir de surveillance de l’employeur en matière de géolocalisation.	Il peut contrôler les déplacements des salariés pendant leur temps de travail mais le dispositif ne doit pas conduire à une surveillance permanente du salarié.
** Indiquer à quelle condition les informations collectées à l’aide d’un dispositif de cybersurveillance peuvent servir de moyen de preuve en justice.	A condition que les salariés aient été informés préalablement de la mise en place de ces dispositifs, que l’employeur ait bien déclaré ces dispositifs auprès de la CNIL et que les preuves aient été collectées de manière loyale.
** Présenter les obligations de l’administrateur système et réseau.	 Il est soumis aux obligations de loyauté envers l’employeur, de transparence, de confidentialité et de proportionnalité. Il est également soumis à l’obligation de dénonciation en cas d’actes manifestement illicites sur le réseau.
** Expliquer les conséquences d’une modification d’un élément essentiel du contrat de travail.	Le salarié peut refuser une telle modification et l’employeur peut alors renoncer à la modification ou procéder au licenciement du salarié.
* Définir le contrat.	Le contrat est un accord de volonté entre deux ou plusieurs personnes, qui a pour objet de créer des obligations à l’égard des parties au contrat et à l’exclusion des tiers.
* Définir le contrat à exécution successive.	C’est un contrat dont la réalisation s’échelonne dans le temps.
* Définir le contrat avec intuitu personae.	Les parties au contrat tiennent compte de leur cocontractant. Les parties se choisissent.
** Expliquer ce qu’est la nullité en droit.	Sanction appliquée à un contrat lorsqu’il rencontre un problème lors de sa formation (dol, erreur, violence, incapacité,…). Elle entraîne l’anéantissement rétroactif du contrat. On remet les parties dans l’état où elles se trouvaient avant la conclusion du contrat.
* Préciser ce qu’est ce que l’effet relatif des contrats.	Le contrat ne doit produire d’effet(s) qu’à l’égard des parties qui contractent. Les tiers ne doivent pas supporter les effets du contrat.
* Donner la signification l’acronyme RCS.	Registre du commerce et des sociétés.
* Obligation incitant à agir ou à s’abstenir de faire quelque chose. Qui suis-je ? 	Il s’agit de l’obligation de faire ou de l’obligation de ne pas faire
* Préciser à quelle(s) catégorie(s) d’acte juridique appartient le contrat.	Le contrat est un acte sous seing privé, parfois un acte authentique (vente immobilière doit se faire devant notaire).
** Le droit des contrats s’appuie sur le principe du consensualisme. Expliquer.	 Seule la volonté crée le contrat. Le contrat naît d’un simple échange des consentements. L’écrit n’est utilisé qu’à titre de preuve mais n’est pas une condition de validité du contrat.
*** Présenter les modalités de mise en œuvre de la responsabilité contractuelle.	En rapportant la preuve de l’existence du contrat, de la mauvaise exécution ou de l’inexécution du contrat (la faute), d’un dommage et d’un lien de causalité entre le contrat, la faute et le dommage.
*** Préciser la particularité de la période des pourparlers dans les négociations contractuelles.	C’est la période pendant laquelle les parties sont libres de négocier avec plusieurs entreprises sous quelque forme que ce soit. Le lien contractuel n’est pas encore créé. Il est également possible de rompre à tout moment les pourparlers (sauf rupture brutale).
** Préciser à qui incombent le devoir de collaboration et le devoir de recette.	Ces deux obligations incombent au maître d’ouvrage (client).
* La CNIL s’occupe de la gestion des noms de domaine en .fr. Vrai ou Faux ?	FAUX, c’est l’AFNIC (Association française pour le nommage internet en coopération)
** Rappeler la procédure d’enregistrement d’un nom de domaine.	1/ L’auteur du site internet doit vérifier lui-même la disponibilité du nom de domaine, 2/ il doit ensuite s’’adresser à un bureau d’enregistrement, 3/ Adresser la demande à l’Ale FNIC.
*** Comparer les extensions gTLD et les extensions ccTLD que peuvent prendre les noms de domaine.	Point commun : ce sont des extensions de 1er niveau Différence : les gTLD sont des extensions génériques, de type .edu, .net ; .org, .com tandis que les ccTLD correspondent aux extensions territoriales telles que .fr, .ca, .eu, .us,…
***En cas de conflit entre un nom de domaine et une marque, il est possible d’engager une action en contrefaçon si la marque été déposée avant le nom de domaine. Vrai ou faux ?	Vrai, mais seulement pour le titulaire de la marque. D’où l’intérêt de faire enregistrer son nom de domaine en tant que marque.
** Déterminer si le titulaire d’une marque nouvelle peut revendiquer un nom de domaine ancien qui est abandonné.	OUI, seuls les noms de domaine effectivement exploités ne peuvent être revendiqués. Par conséquent, il est possible de demander l’attribution d’un nom de domaine laissé à l’abandon.
* Distinguer trois formes différentes de commerce électronique.	Le commerce électronique peut s’effectuer entre professionnels (BtoB), entre entreprises et particuliers (BtoC), entre particuliers (CtoC, marché de l’occasion),…
*** Préciser les conditions de formation du contrat électronique, aussi bien sur le fond que sur la forme.	Il doit respecter l’article 1128 du code civil, être conclu sous la forme d’un écrit électronique, et respecter la règle du double-clic si le contrat est à destination d’un consommateur..
*** Préciser la loi applicable au contrat électronique entre un consommateur français et un vendeur européen.	On applique la loi du pays de l’e-commerçant. Mais les parties peuvent négocier cette modalité dans le contrat. En tout état de cause, si l’acheteur est un consommateur français, alors il bénéficie de la protection du droit de la consommation français.
** Citer les trois conditions nécessaires pour que le juge français puisse être saisi d’un conflit en matière de nom de domaine.	 1/ Si le site est rédigé en français ou susceptible d’être traduit en français, 2/ S’il vise un public français, 3/ et si les produits et/ou services sont disponibles à la vente en France.
** Le cybervendeur a l’obligation d’archiver tout contrat conclu en ligne pendant 10 ans, quelque soit son montant. Vrai ou faux ?	Faux, le cybervendeur doit archiver tout contrat conclu en ligne d’un montant égal ou supérieure à 120€ pendant 10 ans. Pas d’obligation d’archivage pour les petites sommes.
*** L’entreprise e-TECH, concepteur de logiciel, vient d’acquérir un PGI. Mais elle souhaite se rétracter. La concurrence lui propose une meilleure offre. Est-ce possible ?	Le droit de rétractation n’existe que pour protéger le consommateur. Or la vente a eu lieu entre deux professionnels. E-TECH ne peut donc pas se rétracter. Cas pratique attendu.
** Définir un vice caché.	C’est un défaut existant au moment de l’achat et qui, lorsqu’il se révèle, empêche de faire un usage normal du produit. Ce défaut ne pouvait pas être décelé au moment de l’achat. Et il ne résulte pas d’une mauvaise utilisation du produit.
* Présenter la notion de responsabilité.	C’est l’obligation de réparer un dommage causé à une victime devant la justice et d’en assumer les conséquences civiles, pénales ou disciplinaires.
* Présenter les conditions de mise en œuvre de la responsabilité civile extracontractuelle.	Lors de la survenance d’un fait juridique qui cause un dommage.
*** Julie n’a pas reçu le tableau qu’elle avait commandé sur Internet dans les délais prévus. Indiquer l’action en justice qu’elle peut engager.	La commande sur Internet est un contrat. Le non respect des délais de livraison entraîne donc l’apparition d’un préjudice matériel permettant à Julie d’engager la responsabilité civile contractuelle contre le vendeur du tableau.
** Expliquer le principe de l’irresponsabilité des intermédiaires techniques.	En droit, les intermédiaires techniques (tels que les FAI, hébergeurs,…) ne peuvent être responsables des contenus diffusés par l’intermédiaires de leurs outils s’iIs ne font qu’assurer la transmission et le stockage d’informations.
* Lister les missions des intermédiaires techniques depuis la loi de 2004. 	Ils doivent conserver les données d’identification et de connexion des utilisateurs pour des raisons pénales, participer à la lutte contre la contrefaçon et les comportements illégaux sur internet.
** Citer trois missions du concepteur de logiciel.	1/ Élaborer le cahier des charges avec le client, 2/ Développer le logiciel, 3/ Tester le logiciel (phase de recette provisoire), 4/ Rédiger la documentation, 5/ Assurer le suivi et la maintenance.
** Indiquer la conséquence de la recette définitive lors de la conception d’un logiciel.	C’est la dernière étape de la réalisation du logiciel, si le client valide la recette définitive, le logiciel devient alors la propriété du client. La recette définitive entraîne donc le transfert de propriété du logiciel.
* Définir le contrat consensuel.	C’est un contrat formé par le simple échange des consentements. Oral ou écrit, la forme n’est pas une condition de validité du contrat.
* Définir le contrat sans intuitu personae.	C’est un contrat conclu avec n’importe quelle personne qui souhaite s’engager dans le contrat.
* Expliquer le principe du consensualisme.	Ce principe signifie que seule la volonté créé le contrat.
* Définir la force obligatoire du contrat.	Une fois le contrat conclu, les parties doivent l’exécuter car le contrat devient la loi des parties (article 1134 du code civil).
* Définir la notion de bonne foi.	La bonne foi est le fait d’agir (former et exécuter le contrat) de manière loyale et honnête.
* Définir l’ordre public.	L’ordre public correspond à l’ensemble des normes impératives dont les individus ne peuvent s’écarter ni dans leur comportement ni dans leurs conventions. (Vocabulaire juridique, Cornu).
* Préciser ce qu’est ce qu’une obligation de donner.	C’est l’obligation de transférer la propriété d’une chose à quelqu’un.
* Citer au moins 2 conséquences de la liberté contractuelle.	La liberté contractuelle permet de contracter ou de ne pas contracter, de choisir son cocontractant, de choisir le contenu du contrat qui convient.
*** 	Expliquer le dol et ses conséquences. Le dol est constitué lorsque l’une des parties au contrat trompe son cocontractant ou garde sous silence un élément important. Si le dol est reconnu par le juge, celui-ci pourra alors prononcer la nullité du contrat (anéantissement rétroactif).
** Lister les sanctions que le juge peut prononcer si la responsabilité contractuelle de l’une des parties est engagée.	Le juge peut décider soit l’exécution forcée du contrat, soit la résolution ou la résiliation du contrat. Et dans tous les cas, il est possible de demander des dommages et intérêt.
** Indiquer à quelle condition la rupture des pourparlers pourraient devenir abusive.	En principe, les parties sont libres de négocier et d’arrêter la négociation à tout moment, sauf en cas de rupture abusive ; par exemple, si la rupture est trop proche de la date de signature du contrat et sans motif.
** Préciser à qui incombent le devoir de conseil et le devoir de délivrance.	Ces deux obligations incombent au maître d’œuvre (prestataire de services informatiques).
* L’AFNIC ne gère que l’extension territoriale .fr. Vrai ou Faux ?	Faux, elle gère aussi les extensions de la Réunion, de Wallis et Futuna, de Saint Pierre-et-Miquelon, des Terres australes, de Mayotte. Elle gère également de nouvelles extensions (le .paris par exemple).
*** Expliquer comment prouver la concurrence déloyale entre les noms de domaine suivants : eclipse.fr et ecclipse.fr.	Il faut prouver la faute (similitude des signes, la similitude des spécialités des concurrents et la similitude des zones géographiques d’influence des sites), le dommage et le lien de causalité entre la faute et le dommage (application de l’article 1382 du code civil).
** Préciser quels noms de domaines sont inaccessibles du grand public. 	Sont concernés le nom des collectivités territoriales, des instances nationales ou internationales, des services publics, les noms d’élus.
** Expliquer les avantages à protéger son nom de domaine en l’enregistrant en tant que marque auprès de l’INPI.	La protection est de 10ans renouvelable indéfiniment, donc la protection est de longue durée. De plus, le titulaire de la marque est présumé en être le propriétaire. C’est donc à l’autre partie de rapporter la preuve de ses agissements.
** Lister les mentions légales que la loi LCEN de 2004 impose lors de la mise en ligne d’un site vitrine, en France.	Doivent apparaître les informations concernant le propriétaire du site, le concepteur du site et l’hébergeur du site.
* Préciser ce qu’est un contrat électronique.	C’est un contrat de vente de biens et/ou de prestation de service dont la particularité est d’être conclu et exécuté à distance, via un outil électronique.
** Expliquer la règle du double-clic en matière de contrat électronique.	Pour accepter le client doit donner son consentement par deux fois : une 1ère fois, il valide sa commande, une 2ème fois, il confirme sa commande. Le 2ème clic entraîne la formation du contrat.
** Préciser la juridiction compétente en cas de litige en ligne entre deux entreprises françaises.	Le tribunal compétent sera le tribunal de commerce. Les parties peuvent librement choisir le lieu de règlement des conflits (soit en fonction de la résidence du vendeur, soit en fonction de celle de l’acheteur).
* Citer différents moyens de paiement en ligne.	 La Carte bancaire, la e-carte bancaire, le virement, le paiement Pay-Pal, le paiement par téléphone mobile.
** Citer au moins deux raisons expliquant l’utilité de la règle du double clic.	Elle doit permettre au client de donner un consentement libre et éclairé, de ne pas s’engager trop vite dans le contrat pour ensuite en demander l’annulation. Cela sécurise le client mais aussi la transaction.
* Citer trois types de produits vendus en ligne pour lesquels le délai de rétractation ne s’applique pas.	Les produits personnalisés ; les produits périssables ; les journaux, périodiques, magazines ; les services d’abonnement Internet ; les CD, DVD dont l’emballage a été défait ; les voyages, les transports, la restauration, les prestations hôtelières, les billets de spectacles, la location de voitures,…
* Préciser deux obligations du cyberacheteur.	Il doit payer le prix et prendre livraison du bien.
* Distinguer responsabilité civile et responsabilité pénale.	La RC sanctionne l’auteur d’un dommage causé à autrui en l’obligeant à réparer ce préjudice (dommages et intérêts). La RP sanctionne l’auteur d’une infraction portant atteinte aux intérêts de la société.
*** Indiquer les fondements de la responsabilité civile contractuelle.	Sur le fondement des nouveaux articles 1103, 1104 et 1231-1 du code civil.
